status	source	name	name_en	author	candidate	name_zh	evidence
auto	mod:EdenMasochistPack	Alice in N.Y.	Alice in N.Y.	ひとしずくP/やま△	self	Alice in N.Y.	self-display-fallback
auto	mod:Cabra's Song Pack	＋♂	＋♂	Giga	self	＋♂	self-display-fallback
auto	mod:Cabra's Song Pack	POMPADOUR	POMPADOUR	OSTER Project	self	POMPADOUR	self-display-fallback
auto	mod:Cabra's Song Pack	Beyond the Way	Beyond the Way	Giga	self	Beyond the Way	self-display-fallback
auto	mod:zombzach's song pack	SUSHI-GO-ROUND	SUSHI-GO-ROUND	鬱P	self	SUSHI-GO-ROUND	self-display-fallback
auto	mod:zombzach's song pack	Loveit?	Loveit?	biz&ZERA	self	Loveit?	self-display-fallback
auto	mod:zombzach's song pack	Happy Coaster	Happy Coaster	emon(Tes.)	self	Happy Coaster	self-display-fallback
auto	mod:zombzach's song pack	ULTRA C	ULTRA C	Giga & TeddyLoid	self	ULTRA C	self-display-fallback
auto	mod:WACCA Mini Songpack	Let you DIVE!	Let you DIVE!	Hardcore TANO*C	self	Let you DIVE!	self-display-fallback
auto	mod:WACCA Mini Songpack	with U	with U	t+pazolite & Massive New Krew	self	with U	self-display-fallback
auto	mod:WACCA Mini Songpack	Ouvertüre	Ouvertüre	USAO & DJ Genki	self	Ouvertüre	self-display-fallback
auto	mod:Doatz Song Pack	Sinner	Sinner	オカメP	self	Sinner	self-display-fallback
auto	mod:Doatz Song Pack	Always Be ^o^	Always Be ^o^	StaticP	self	Always Be ^o^	self-display-fallback
auto	mod:Doatz Song Pack	G.H.O.S.T.	G.H.O.S.T.	EMIRI	self	G.H.O.S.T.	self-display-fallback
auto	mod:Doatz Song Pack	KITSUNE Patissiere	KITSUNE Patissiere	まらしぃ	self	KITSUNE Patissiere	self-display-fallback
auto	mod:Doatz Song Pack	Whisper Whisper Whisper	Whisper Whisper Whisper	Azari	self	Whisper Whisper Whisper	self-display-fallback
auto	mod:Doatz Song Pack	2.14	2.14	オカメP	self	2.14	self-display-fallback
auto	mod:Doatz Song Pack	THE DYING MESSAGE	THE DYING MESSAGE	鬱P	self	THE DYING MESSAGE	self-display-fallback
auto	mod:Doatz Song Pack	SnowMix♪	SnowMix♪	まらしぃ	self	SnowMix♪	self-display-fallback
auto	mod:Doatz Song Pack	Fondant Step	Fondant Step	ヘブンズP	self	Fondant Step	self-display-fallback
auto	mod:Doatz Song Pack	Snow Fairy Story	Snow Fairy Story	40mP	self	Snow Fairy Story	self-display-fallback
auto	mod:Doatz Song Pack	Snow Song Show	Snow Song Show	ささくれUK	self	Snow Song Show	self-display-fallback
auto	mod:Doatz Song Pack	Die For You	Die For You	オカメP	self	Die For You	self-display-fallback
